_id,spotify_features.danceability,spotify_features.energy,spotify_features.key,spotify_features.loudness,spotify_features.mode,spotify_features.speechiness,spotify_features.acousticness,spotify_features.instrumentalness,spotify_features.liveness,spotify_features.valence,spotify_features.tempo,spotify_features.type,spotify_features.duration_ms,spotify_features.time_signature
5f6a623b61d3b237bb0140f1,0.338,0.877,6,-9.416,0,0.0866,0.0416,0.00254,0.364,0.474,152.947,audio_features,223560,4
5f6a623b61d3b237bb0140f2,0.649,0.904,7,-8.21,1,0.0422,0.0594,0.0000258,0.066,0.741,98.729,audio_features,277507,4
5f6a623b61d3b237bb0140f3,0.565,0.564,2,-10.044,1,0.0292,0.161,0,0.114,0.454,134.355,audio_features,295533,4
5f6a623b61d3b237bb0140f4,0.527,0.69,9,-9.948,1,0.0701,0.117,0.00000306,0.112,0.928,123.411,audio_features,146960,4
5f6a623b61d3b237bb0140f5,0.538,0.603,1,-9.489,1,0.0288,0.0519,0,0.0758,0.182,113.753,audio_features,281733,4
5f6a623b61d3b237bb0140f6,0.594,0.638,7,-9.326,1,0.032,0.222,0,0.122,0.177,125.581,audio_features,220307,4
5f6a623b61d3b237bb0140f7,0.58,0.817,9,-7.852,1,0.0744,0.222,0.0000031,0.153,0.899,116.317,audio_features,136800,4
5f6a623b61d3b237bb0140f8,0.552,0.963,2,-8.485,1,0.0546,0.0566,0.00000113,0.0631,0.391,108.717,audio_features,197627,4
5f6a623b61d3b237bb0140f9,0.506,0.535,3,-10.144,1,0.038,0.125,0,0.092,0.306,130.689,audio_features,283267,4
5f6a623b61d3b237bb0140fa,0.442,0.39,7,-11.652,1,0.0314,0.428,0,0.244,0.63,79.47,audio_features,210240,4
5f6a623b61d3b237bb0140fb,0.518,0.914,9,-9.482,1,0.0715,0.168,0.00815,0.109,0.671,120.921,audio_features,188907,4
5f6a623b61d3b237bb0140fc,0.611,0.633,7,-11.987,1,0.0828,0.567,0.158,0.282,0.547,127.65,audio_features,133933,3
5f6a623b61d3b237bb0140fd,0.537,0.495,8,-6.188,1,0.0255,0.127,0.00453,0.109,0.155,73.019,audio_features,288000,4
5f6a623b61d3b237bb0140fe,0.641,0.812,9,-9.034,0,0.0331,0.062,0.0468,0.27,0.485,123.977,audio_features,303213,4
5f6a623b61d3b237bb0140ff,0.447,0.771,1,-9.88,0,0.0463,0.282,0.153,0.108,0.156,82.812,audio_features,293720,4
5f6a623b61d3b237bb014100,0.445,0.708,5,-6.207,1,0.0343,0.00112,0.0104,0.0982,0.119,86.875,audio_features,250173,4
5f6a623b61d3b237bb014101,0.495,0.808,3,-6.186,1,0.0315,0.00223,0.0407,0.937,0.439,102.198,audio_features,218753,3
5f6a623b61d3b237bb014102,0.64,0.681,7,-6.029,1,0.0352,0.292,0.0114,0.0769,0.416,135.975,audio_features,223040,1
5f6a623b61d3b237bb014103,0.453,0.846,7,-4.606,1,0.0586,0.000415,0.00727,0.337,0.368,140.33,audio_features,179320,4
5f6a623b61d3b237bb014104,0.518,0.904,6,-7.614,0,0.045,0.00268,0.466,0.283,0.392,154.847,audio_features,208147,4
5f6a623b61d3b237bb014105,0.632,0.938,8,-6.999,1,0.339,0.0467,0.0057,0.098,0.227,135.787,audio_features,336440,4
5f6a623b61d3b237bb014106,0.627,0.495,8,-8.479,1,0.0282,0.0108,0.829,0.0849,0.27,148.086,audio_features,355320,4
5f6a623b61d3b237bb014107,0.399,0.0877,8,-17.084,1,0.117,0.801,0,0.109,0.104,118.695,audio_features,186267,4
5f6a623b61d3b237bb014108,0.415,0.527,0,-8.8,1,0.0332,0.437,0.0726,0.106,0.33,200.008,audio_features,313640,4
5f6a623b61d3b237bb014109,0.227,0.634,5,-6.347,1,0.04,0.155,0.00029,0.345,0.152,81.918,audio_features,353708,4
5f6a623b61d3b237bb01410a,0.496,0.682,2,-5.379,0,0.0345,0.0285,0.00929,0.133,0.175,119.933,audio_features,238533,4
5f6a623b61d3b237bb01410b,0.367,0.903,4,-5.956,0,0.175,0.0477,0.00124,0.235,0.239,106.329,audio_features,281781,3
5f6a623b61d3b237bb01410c,0.5,0.873,2,-3.869,1,0.0369,0.00144,0.0613,0.0715,0.325,130.048,audio_features,266093,4
5f6a623b61d3b237bb01410d,0.406,0.738,9,-4.64,1,0.0439,0.00138,0.0117,0.154,0.31,150.886,audio_features,255806,3
5f6a623b61d3b237bb01410e,0.212,0.641,9,-5.453,0,0.036,0.0012,0.104,0.119,0.049,91.569,audio_features,304907,3
5f6a623b61d3b237bb01410f,0.316,0.833,4,-2.748,1,0.0703,0.000129,0.0809,0.638,0.186,148.114,audio_features,229507,3
5f6a623b61d3b237bb014110,0.533,0.183,3,-17.144,1,0.0369,0.887,0.843,0.11,0.117,88.121,audio_features,126747,4
5f6a623b61d3b237bb014111,0.502,0.721,2,-5.555,0,0.051,0.0153,0.214,0.0827,0.167,76.954,audio_features,314333,4
5f6a623b61d3b237bb014112,0.398,0.733,7,-2.707,1,0.0378,0.0161,0.000928,0.0687,0.205,134.096,audio_features,348320,3
5f6a623b61d3b237bb014113,0.752,0.546,11,-10.192,0,0.0333,0.597,0.809,0.0528,0.276,83.96,audio_features,400640,4
5f6a623b61d3b237bb014114,0.295,0.789,1,-5.559,1,0.0702,0.000166,0.0898,0.0986,0.515,104.135,audio_features,178960,4
5f6a623b61d3b237bb014115,0.585,0.603,6,-7.152,1,0.0254,0.000234,0.891,0.201,0.212,102.364,audio_features,246067,4
5f6a623b61d3b237bb014116,0.499,0.664,11,-8.656,1,0.0446,0.00613,0.304,0.116,0.179,119.831,audio_features,205973,3
5f6a623b61d3b237bb014117,0.366,0.894,11,-4.682,0,0.0568,0.0000345,0.17,0.267,0.304,82.305,audio_features,247267,3
5f6a623b61d3b237bb014118,0.456,0.847,6,-6.386,0,0.034,0.00048,0.0437,0.0844,0.299,147.911,audio_features,288360,3
5f6a623b61d3b237bb014119,0.518,0.744,9,-8.248,1,0.0374,0.00383,0.007,0.078,0.211,144.019,audio_features,219640,3
5f6a623b61d3b237bb01411a,0.415,0.742,6,-5.756,1,0.0348,0.000258,0.701,0.122,0.555,117.788,audio_features,250827,4
5f6a623b61d3b237bb01411b,0.357,0.599,1,-8.304,0,0.033,0.00555,0.814,0.111,0.138,167.823,audio_features,209373,4
5f6a623b61d3b237bb01411c,0.457,0.652,4,-11.691,0,0.0307,0.24,0.0761,0.0612,0.0643,89.408,audio_features,144493,1
5f6a623b61d3b237bb01411d,0.562,0.872,6,-7.202,0,0.0552,0.0000633,0.445,0.167,0.646,150.203,audio_features,274573,4
5f6a623b61d3b237bb01411e,0.616,0.519,6,-7.834,1,0.0323,0.000767,0.179,0.111,0.118,119.916,audio_features,264467,4
5f6a623b61d3b237bb01411f,0.424,0.00515,2,-26.26,0,0.0663,0.809,0.0467,0.106,0.41,149.457,audio_features,143200,3
5f6a623b61d3b237bb014120,0.765,0.398,9,-10.538,1,0.0359,0.00364,0.725,0.117,0.15,123.887,audio_features,460493,4
5f6a623b61d3b237bb014121,0.483,0.841,1,-7.494,0,0.0523,0.000172,0.861,0.108,0.13,159.747,audio_features,195133,3
5f6a623b61d3b237bb014122,0.679,0.409,1,-10.41,1,0.0313,0.0695,0.265,0.079,0.31,131.983,audio_features,293173,4
5f6a623b61d3b237bb014123,0.413,0.784,4,-8.231,0,0.0746,0.0105,0.0473,0.247,0.317,177.88,audio_features,253667,4
5f6a623b61d3b237bb014124,0.633,0.582,8,-11.772,0,0.0311,0.00156,0.357,0.117,0.162,119.835,audio_features,291467,4
5f6a623b61d3b237bb014125,0.536,0.368,1,-12.761,0,0.0296,0.516,0.0338,0.0921,0.0949,109.979,audio_features,192333,4
5f6a623b61d3b237bb014126,0.328,0.843,6,-6.644,1,0.0887,0.000111,0.801,0.0496,0.422,113.329,audio_features,246000,4
5f6a623b61d3b237bb014127,0.735,0.724,6,-17.229,0,0.0719,0.213,0.074,0.106,0.146,118.794,audio_features,154960,4
5f6a623b61d3b237bb014128,0.143,0.192,1,-15.355,1,0.0376,0.971,0.02,0.183,0.127,79.619,audio_features,244773,3
5f6a623b61d3b237bb014129,0.542,0.806,8,-4.973,1,0.0482,0.0021,0.436,0.291,0.333,140.155,audio_features,274333,4
5f6a623b61d3b237bb01412a,0.787,0.0742,1,-26.53,1,0.104,0.0982,0.162,0.284,0.162,125.017,audio_features,121960,4
5f6a623b61d3b237bb01412b,0.606,0.566,6,-8.526,0,0.0289,0.0179,0.206,0.101,0.205,123.945,audio_features,308067,1
5f6a623b61d3b237bb01412c,0.781,0.926,0,-6.327,1,0.0751,0.0198,0,0.207,0.9,132.962,audio_features,180480,4
5f6a623b61d3b237bb01412d,0.504,0.856,1,-6.647,0,0.105,0.00123,0.000384,0.124,0.166,180.116,audio_features,208213,4
5f6a623b61d3b237bb01412e,0.516,0.919,1,-7.735,0,0.0439,0.00216,0.765,0.691,0.49,178.046,audio_features,352333,4
5f6a623b61d3b237bb01412f,0.745,0.736,7,-6.975,0,0.086,0.00495,0.693,0.478,0.197,115.011,audio_features,333173,4
5f6a623b61d3b237bb014130,0.815,0.932,1,-6.261,1,0.0959,0.0108,0.00515,0.0596,0.524,128.015,audio_features,273547,4
5f6a623b61d3b237bb014131,0.275,0.536,10,-12.787,0,0.115,0.315,0.00000582,0.374,0.224,79.639,audio_features,77267,4
5f6a623b61d3b237bb014132,0.479,0.829,1,-3.841,1,0.0456,0.0000249,0.166,0.103,0.154,132.055,audio_features,215373,4
